flight_id,airline,origin,destination,delay_minutes,passengers,date
1,LATAM,CNF,GRU,15.0,180.0,01-03-2024
2,AZUL,CNF,REC,0.0,150.0,01-03-2024
3,GOL,GRU,CNF,45.0,190.0,02-03-2024
4,LATAM,GRU,BSB,10.0,175.0,02-03-2024
7,LATAM,BSB,CNF,300.0,170.0,04-03-2024
8,AZUL,CNF,SSA,20.0,155.0,04-03-2024
9,GOL,GRU,REC,60.0,195.0,05-03-2024
10,LATAM,CNF,GRU,25.0,182.0,05-03-2024
11,LATAM,SSA,CNF,0.0,148.0,06-03-2024
13,LATAM,GRU,CNF,12.0,178.0,07-03-2024
15,GOL,BSB,GRU,50.0,192.0,08-03-2024
16,LATAM,CNF,BSB,0.0,176.0,08-03-2024
18,GOL,CNF,REC,22.0,187.0,09-03-2024
19,LATAM,REC,GRU,5.0,181.0,10-03-2024
20,AZUL,CNF,FOR,40.0,149.0,10-03-2024
22,LATAM,BSB,GRU,10.0,174.0,11-03-2024
23,AZUL,REC,CNF,0.0,151.0,12-03-2024
24,GOL,CNF,SSA,55.0,191.0,12-03-2024
25,LATAM,GRU,FOR,20.0,179.0,13-03-2024
26,AZUL,CNF,GRU,5.0,153.0,13-03-2024
27,GOL,REC,CNF,30.0,186.0,14-03-2024
28,LATAM,CNF,REC,0.0,183.0,14-03-2024
29,AZUL,GRU,SSA,25.0,147.0,15-03-2024
