flight_id,airline,origin,destination,delay_minutes,passengers
1,LATAM,CNF,GRU,15,180
2,AZUL,CNF,REC,0,150
3,GOL,GRU,CNF,45,190
4,LATAM,GRU,BSB,10,175
5,AZUL,REC,CNF,5,145
6,GOL,CNF,GRU,30,185
7,LATAM,BSB,CNF,0,170
8,AZUL,CNF,SSA,20,155
9,GOL,GRU,REC,60,195
10,LATAM,CNF,GRU,25,182
11,AZUL,SSA,CNF,0,148
12,GOL,CNF,FOR,35,188
13,LATAM,GRU,CNF,12,178
14,AZUL,CNF,REC,8,152
15,GOL,BSB,GRU,50,192
16,LATAM,CNF,BSB,0,176
17,AZUL,GRU,CNF,18,160
18,GOL,CNF,REC,22,187
19,LATAM,REC,GRU,5,181
20,AZUL,CNF,FOR,40,149
21,GOL,GRU,CNF,15,189
22,LATAM,BSB,GRU,10,174
23,AZUL,REC,CNF,0,151
24,GOL,CNF,SSA,55,191
25,LATAM,GRU,FOR,20,179
26,AZUL,CNF,GRU,5,153
27,GOL,REC,CNF,30,186
28,LATAM,CNF,REC,0,183
29,AZUL,GRU,SSA,25,147
30,GOL,CNF,GRU,70,194
31,LATAM,CNF,REC,75,178
