flight_id,airline,origin,destination,delay_minutes,passengers
1,LATAM,CNF,GRU,15.0,180.0
2,AZUL,CNF,REC,0.0,150.0
3,GOL,GRU,CNF,45.0,190.0
4,LATAM,GRU,BSB,10.0,175.0
7,LATAM,BSB,CNF,300.0,170.0
8,AZUL,CNF,SSA,20.0,155.0
9,GOL,GRU,REC,60.0,195.0
10,LATAM,CNF,GRU,25.0,182.0
11,LATAM,SSA,CNF,0.0,148.0
13,LATAM,GRU,CNF,12.0,178.0
15,GOL,BSB,GRU,50.0,192.0
16,LATAM,CNF,BSB,0.0,176.0
18,GOL,CNF,REC,22.0,187.0
19,LATAM,REC,GRU,5.0,181.0
20,AZUL,CNF,FOR,40.0,149.0
22,LATAM,BSB,GRU,10.0,174.0
23,AZUL,REC,CNF,0.0,151.0
24,GOL,CNF,SSA,55.0,191.0
25,LATAM,GRU,FOR,20.0,179.0
26,AZUL,CNF,GRU,5.0,153.0
27,GOL,REC,CNF,30.0,186.0
28,LATAM,CNF,REC,0.0,183.0
29,AZUL,GRU,SSA,25.0,147.0
