flight_id,airline,origin,destination,delay_minutes,passengers,date
1,LATAM,CNF,GRU,15,180,01-03-2024
2,AZUL,CNF,REC,0,150,01-03-2024
3,GOL,GRU,CNF,45,190,02-03-2024
4,Latam,GRU,BSB,10,175,02-03-2024
5,azul,REC,CNF,NULL,145,03-03-2024
6,GOL ,CNF,GRU,-5,185,03-03-2024
7,LATAM,BSB,CNF,300,170,04-03-2024
8, AZUL,CNF,SSA,20,155,04-03-2024
9,gol,GRU,REC,60,195,05-03-2024
10,LATAM ,CNF,GRU,25,182,05-03-2024
11,Latam,SSA,CNF,0,148,06-03-2024
12,GOL,CNF,FOR,35,NULL,06-03-2024
13,LATAM,GRU,CNF,12,178,07-03-2024
14,AZUL,CNF,REC,NULL,152,07-03-2024
15,GOL,BSB,GRU,50,192,08-03-2024
16,latam,CNF,BSB,0,176,08-03-2024
17,AZUL,GRU,CNF,-10,160,09-03-2024
18,GOL,CNF,REC,22,187,09-03-2024
19,LATAM,REC,GRU,5,181,10-03-2024
20,azul,CNF,FOR,40,149,10-03-2024
21,GOL,GRU,CNF,15,NULL,11-03-2024
22,LATAM,BSB,GRU,10,174,11-03-2024
23,AZUL,REC,CNF,0,151,12-03-2024
24,GOL,CNF,SSA,55,191,12-03-2024
25,Latam,GRU,FOR,20,179,13-03-2024
26, AZUL,CNF,GRU,5,153,13-03-2024
27,gol,REC,CNF,30,186,14-03-2024
28,LATAM,CNF,REC,0,183,14-03-2024
29,Azul,GRU,SSA,25,147,15-03-2024
30,GOL,CNF,GRU,999,194,15-03-2024
